ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position	band	gene_biotype
ENSG00000248715		4	132461436	132461637	q28.3	pseudogene
ENSG00000251489		4	70754629	70755133	q13.3	pseudogene
ENSG00000249416		4	132689388	132689730	q28.3	pseudogene
ENSG00000234124	CSN1S2AP	4	70933103	70951007	q13.3	processed_transcript
ENSG00000251676		4	132694457	132712637	q28.3	processed_transcript
ENSG00000250476		4	3968761	3969387	p16.3	pseudogene
ENSG00000243894		4	4078438	4079218	p16.3	pseudogene
ENSG00000250940		4	4088365	4088541	p16.3	pseudogene
ENSG00000248669		4	4119652	4120011	p16.3	pseudogene
ENSG00000172167	MTBP	8	121457640	121554373	q24.12	protein_coding
ENSG00000250710		4	4128369	4176990	p16.3	pseudogene
ENSG00000196369	SRGAP2P2	1	143913615	144094424	q21.1	processed_transcript
ENSG00000198787		4	4128386	4129296	p16.3	pseudogene
ENSG00000250381		4	4145185	4152148	p16.3	pseudogene
ENSG00000147654	EBAG9	8	110551940	110578225	q23.2	protein_coding
ENSG00000255242	C14orf169	14	73957669	73960096	q24.3	protein_coding
ENSG00000249844		4	4176046	4176965	p16.3	pseudogene
ENSG00000124920	C11orf9	11	61520121	61555989	q12.2	protein_coding
ENSG00000230417		10	80008497	80434724	q22.3	processed_transcript
ENSG00000184227	ACOT1	14	74003818	74010453	q24.3	protein_coding
ENSG00000145839	IL9	5	135227935	135231516	q31.1	protein_coding
ENSG00000227136	C10orf101	10	80027085	80090352	q22.3	processed_transcript
ENSG00000248516		4	4323689	4335909	p16.3	processed_transcript
ENSG00000184139		4	132778488	132779068	q28.3	pseudogene
ENSG00000251555		4	132851186	132897107	q28.3	processed_transcript
ENSG00000229543		10	80053599	80060760	q22.3	processed_transcript
ENSG00000251598		4	132925965	133045186	q28.3	processed_transcript
ENSG00000230229		10	80112354	80115857	q22.3	processed_transcript
ENSG00000249463		4	132948330	132949589	q28.3	processed_transcript
ENSG00000198157	HMGN5	X	80369200	80457441	q21.1	protein_coding
ENSG00000251051		4	133288941	133289634	q28.3	pseudogene
ENSG00000204814		9	44867571	44870528	p11.2	protein_coding
ENSG00000204193	TXNDC8	9	113065801	113100127	q31.3	protein_coding
ENSG00000232368	FTLP2	X	30648415	30648942	p21.2	pseudogene
ENSG00000145826	LECT2	5	135257968	135290723	q31.1	protein_coding
ENSG00000229331		X	30689752	30690283	p21.2	processed_transcript
ENSG00000241886		X	30716324	30740049	p21.2	processed_transcript
ENSG00000243055		X	30718115	30742291	p21.2	processed_transcript
ENSG00000231542	CXorf29	X	30852740	30853417	p21.2	processed_transcript
ENSG00000228683		10	80455819	80456779	q22.3	processed_transcript
ENSG00000235512		X	30872438	30872824	p21.2	processed_transcript
ENSG00000244186		X	31115794	31187673	p21.2	processed_transcript
ENSG00000224596		10	80703085	80828817	q22.3	processed_transcript
ENSG00000242286		X	31279225	31341747	p21.2	processed_transcript
ENSG00000251398		4	133512244	133599658	q28.3	processed_transcript
ENSG00000237682		X	100792472	100794237	q22.1	pseudogene
ENSG00000123570	RAB9B	X	103077252	103087158	q22.2	protein_coding
ENSG00000159069	FBXW5	9	139834887	139839148	q34.3	protein_coding
ENSG00000253589		4	70933103	70950990	q13.3	processed_transcript
ENSG00000224363		1	144089214	144091946	q21.1	processed_transcript
ENSG00000249038		4	133513270	133513691	q28.3	pseudogene
ENSG00000235398		1	144275918	144341756	q21.1	processed_transcript
ENSG00000198846	TOX	8	59717977	60031767	q12.1	protein_coding
ENSG00000251488		4	133757927	133902832	q28.3	processed_transcript
ENSG00000123569	H2BFWT	X	103265719	103268259	q22.2	protein_coding
ENSG00000249170		4	72165975	72166952	q13.3	pseudogene
ENSG00000248662		4	72300122	72303494	q13.3	pseudogene
ENSG00000249513		4	133884936	133909832	q28.3	processed_transcript
ENSG00000126947	ARMCX1	X	100805514	100809683	q22.1	protein_coding
ENSG00000196792	STRN3	14	31363005	31495607	q12	protein_coding
ENSG00000248567		4	72687022	72689697	q13.3	processed_transcript
ENSG00000248221		4	4477848	4483427	p16.3	processed_transcript
ENSG00000237170		4	4508805	4509510	p16.2	pseudogene
ENSG00000071246	VASH1	14	77228235	77249363	q24.3	protein_coding
ENSG00000164654	MIOS	7	7606503	7648560	p21.3	protein_coding
ENSG00000144619	CNTN4	3	2140497	3099645	p26.3	protein_coding
ENSG00000173926	MARCH3	5	126203406	126366500	q23.2	protein_coding
ENSG00000236285	NPM1P8	X	32224019	32224855	p21.1	pseudogene
ENSG00000236828		X	32773057	32774517	p21.1	processed_transcript
ENSG00000226781		X	33059512	33059838	p21.1	pseudogene
ENSG00000215310		X	33429061	33430290	p21.1	pseudogene
ENSG00000139352	ASCL1	12	103351452	103354287	q23.2	protein_coding
ENSG00000154537	FAM27C	9	44990314	44991483	p11.2	protein_coding
ENSG00000164916	FOXK1	7	4683388	4811074	p22.1	protein_coding
ENSG00000250877		4	73188745	73196468	q13.3	processed_transcript
ENSG00000229569		10	80760241	80763560	q22.3	processed_transcript
ENSG00000247708		4	4543858	4639631	p16.2	processed_transcript
ENSG00000198960	ARMCX6	X	100870110	100872991	q22.1	protein_coding
ENSG00000178538	CA8	8	61099906	61193971	q12.1	protein_coding
ENSG00000119673	ACOT2	14	74035772	74042359	q24.3	protein_coding
ENSG00000233928		X	33744625	33960397	p21.1	processed_transcript
ENSG00000236943		1	144456138	144521970	q21.1	processed_transcript
ENSG00000185638	FTH1P14	X	34165153	34165703	p21.1	pseudogene
ENSG00000249060		4	73672984	73673907	q13.3	pseudogene
ENSG00000233571		X	34224842	34433654	p21.1	processed_transcript
ENSG00000204396	C6orf27	6	31733367	31745108	p21.33	protein_coding
ENSG00000236072		X	34405839	34406581	p21.1	pseudogene
ENSG00000225384		X	34735557	34736109	p21.1	pseudogene
ENSG00000251587	LDHAP1	4	4895909	4896900	p16.2	pseudogene
ENSG00000235426		10	81142084	81169030	q22.3	processed_transcript
ENSG00000249896		4	6202460	6240044	p16.1	processed_transcript
ENSG00000229347		X	35077044	35078091	p21.1	pseudogene
ENSG00000165124	SVEP1	9	113127531	113342160	q31.3	protein_coding
ENSG00000182368	FAM27A	9	45727107	45728274	p11.2	protein_coding
ENSG00000177465	ACOT4	14	74058410	74062468	q24.3	protein_coding
ENSG00000242802	KIAA0415	7	4777019	4833943	p22.1	protein_coding
ENSG00000241317		10	81263829	81266037	q22.3	processed_transcript
ENSG00000235705		10	81265833	81266643	q22.3	pseudogene
ENSG00000216238		10	81272406	81272867	q22.3	pseudogene
ENSG00000137463	C4orf49	4	140187317	140201492	q31.1	protein_coding
ENSG00000225485	ARHGAP23	17	36584730	36668628	q12	protein_coding
ENSG00000145794	MEGF10	5	126626523	126801429	q23.2	protein_coding
ENSG00000204807	FAM27E2	9	45733559	45734896	p11.2	protein_coding
ENSG00000232965		10	81303843	81304112	q22.3	pseudogene
ENSG00000237198		9	46385691	46387031	p11.2	protein_coding
ENSG00000219430	MBL3P	10	81342054	81344633	q22.3	pseudogene
ENSG00000204072		X	100852488	100853049	q22.1	pseudogene
ENSG00000228275		X	100877973	100879154	q22.1	processed_transcript
ENSG00000231997		9	46389110	46391556	p11.2	protein_coding
ENSG00000223753		X	100938777	100939449	q22.1	pseudogene
ENSG00000229090		X	100975416	100976682	q22.1	pseudogene
ENSG00000230227	SIAH1L	X	35644259	35645181	p21.1	pseudogene
ENSG00000164050	PLXNB1	3	48445261	48471594	p21.31	protein_coding
ENSG00000145911	N4BP3	5	177540444	177553088	q35.3	protein_coding
ENSG00000179088	C12orf42	12	103631370	103889749	q23.3	protein_coding
ENSG00000233663		X	35729028	35730059	p21.1	pseudogene
ENSG00000176919	C8G	9	139839698	139841426	q34.3	protein_coding
ENSG00000251408		4	6204055	6208376	p16.1	processed_transcript
ENSG00000124915		11	61521501	61525136	q12.2	protein_coding
ENSG00000251580		4	6672452	6675557	p16.1	processed_transcript
ENSG00000233880		X	35779616	35780596	p21.1	pseudogene
ENSG00000214780		11	61532328	61535285	q12.2	protein_coding
ENSG00000145916	RMND5B	5	177557997	177577566	q35.3	protein_coding
ENSG00000225241	NBPF8	1	144593363	144621664	q21.1	processed_transcript
ENSG00000066697	C9orf30	9	103189438	103213975	q31.1	protein_coding
ENSG00000238030		1	179512336	179518057	q25.2	processed_transcript
ENSG00000227141		1	179555840	179558312	q25.2	pseudogene
ENSG00000243062		1	179699352	179711832	q25.2	processed_transcript
ENSG00000250241		4	133996466	134070271	q28.3	processed_transcript
ENSG00000189046	ALKBH2	12	109525993	109531293	q24.11	protein_coding
ENSG00000172164	SNTB1	8	121547985	121825513	q24.12	protein_coding
ENSG00000170846		4	6675178	6677774	p16.1	processed_transcript
ENSG00000246526		4	6689175	6692246	p16.1	processed_transcript
ENSG00000205669	ACOT6	14	74083548	74086592	q24.3	protein_coding
ENSG00000136011	STAB2	12	103981051	104160505	q23.3	protein_coding
ENSG00000101812	H2BFM	X	103268269	103297021	q22.2	protein_coding
ENSG00000214696		4	6852339	6852678	p16.1	pseudogene
ENSG00000196377		4	6872264	6872553	p16.1	pseudogene
ENSG00000229384	HMGB1P16	X	36229213	36229849	p21.1	pseudogene
ENSG00000187904		4	6997068	7000685	p16.1	processed_transcript
ENSG00000245748		4	7032281	7047958	p16.1	processed_transcript
ENSG00000226484		X	36383741	36458375	p21.1	processed_transcript
ENSG00000119661	DNAL1	14	74111578	74168647	q24.3	protein_coding
ENSG00000233921	RPS15AP40	X	36392914	36393298	p21.1	pseudogene
ENSG00000229407		1	179785319	179787326	q25.2	processed_transcript
ENSG00000249467		X	36737991	36738294	p21.1	pseudogene
ENSG00000235510		X	36975986	36976212	p21.1	pseudogene
ENSG00000186395	KRT10	17	38974369	38978847	q21.2	protein_coding
ENSG00000248735		4	134046107	134047210	q28.3	pseudogene
ENSG00000184925	LCN12	9	139844003	139849949	q34.3	protein_coding
ENSG00000164616	FBXL21	5	135266006	135287280	q31.1	polymorphic_pseudogene
ENSG00000245562		4	7096298	7105107	p16.1	processed_transcript
ENSG00000231966		1	179798744	179805259	q25.2	processed_transcript
ENSG00000228969		1	179895776	179910931	q25.2	processed_transcript
ENSG00000245468		4	7102967	7105112	p16.1	processed_transcript
ENSG00000235145		1	179937821	179938636	q25.2	pseudogene
ENSG00000251460		4	8068255	8069451	p16.1	processed_transcript
ENSG00000250471		4	8176148	8176721	p16.1	pseudogene
ENSG00000167920	TMEM99	17	38975358	38992522	q21.2	protein_coding
ENSG00000131171	SH3BGRL	X	80457442	80554046	q21.1	protein_coding
ENSG00000225827		10	81355050	81355416	q22.3	pseudogene
ENSG00000226676		10	81388513	81391944	q22.3	processed_transcript
ENSG00000250191		4	134495721	134496363	q28.3	pseudogene
ENSG00000223450		1	179969573	179969943	q25.2	pseudogene
ENSG00000251388		4	134792401	134931845	q28.3	processed_transcript
ENSG00000178146		X	101033855	101035513	q22.1	pseudogene
ENSG00000231016		1	180086275	180093025	q25.2	processed_transcript
ENSG00000254535	PABPC4L	4	135121062	135122903	q28.3	processed_transcript
ENSG00000109390	NDUFC1	4	140188034	140223705	q31.1	protein_coding
ENSG00000235196		X	101166500	101167441	q22.1	pseudogene
ENSG00000230124		1	180238788	180243887	q25.2	processed_transcript
ENSG00000148229	POLE3	9	116169515	116172952	q32	protein_coding
ENSG00000235976		X	101244457	101244845	q22.1	pseudogene
ENSG00000187242	KRT12	17	39017195	39023462	q21.2	protein_coding
ENSG00000226119		X	101261856	101262267	q22.1	pseudogene
ENSG00000234901		X	101263497	101264019	q22.1	pseudogene
ENSG00000251525		X	101428072	101439994	q22.1	pseudogene
ENSG00000249762		4	8242571	8243530	p16.1	processed_transcript
ENSG00000149742	SLC22A9	11	63137261	63177710	q12.3	protein_coding
ENSG00000251349		9	103204553	103339918	q31.1	protein_coding
ENSG00000223723		X	36980269	36981498	p21.1	pseudogene
ENSG00000231069		X	37003596	37004166	p21.1	pseudogene
ENSG00000254410		4	135121062	135122903	q28.3	processed_transcript
ENSG00000249145		4	8321903	8325590	p16.1	processed_transcript
ENSG00000106399	RPA3	7	7676149	7758238	p21.3	protein_coding
ENSG00000243048	FTH1P18	X	37061096	37061644	p21.1	pseudogene
ENSG00000251199		4	135176328	135248628	q28.3	processed_transcript
ENSG00000248986		4	8322006	8325692	p16.1	processed_transcript
ENSG00000214071		X	37061102	37096474	p21.1	pseudogene
ENSG00000176903	PNMA1	14	74178494	74181128	q24.3	protein_coding
ENSG00000233810		X	37150420	37151479	p21.1	pseudogene
ENSG00000170961	HAS2	8	122624356	122653630	q24.13	protein_coding
ENSG00000234355		X	37300776	37365113	p21.1	pseudogene
ENSG00000241607		X	37300776	37301321	p21.1	pseudogene
ENSG00000100478	AP4S1	14	31494683	31562241	q12	protein_coding
ENSG00000176274	MCART6	X	103343898	103401708	q22.2	protein_coding
ENSG00000241697	TMEFF1	9	103204560	103339918	q31.1	protein_coding
ENSG00000157927	RADIL	7	4836686	4923350	p22.1	protein_coding
ENSG00000235060	VDAC1P4	1	180403935	180405071	q25.3	pseudogene
ENSG00000248191		4	135248218	135249953	q28.3	pseudogene
ENSG00000236719		1	180528112	180535654	q25.3	processed_transcript
ENSG00000225857		1	180875787	180878302	q25.3	processed_transcript
ENSG00000120708	TGFBI	5	135364584	135399507	q31.1	protein_coding
ENSG00000171431	KRT20	17	39030852	39041479	q21.2	protein_coding
ENSG00000244733		10	81420645	81436855	q22.3	processed_transcript
ENSG00000251615		4	8357038	8359103	p16.1	processed_transcript
ENSG00000226613		X	101514031	101516680	q22.1	pseudogene
ENSG00000251186		4	8455137	8456669	p16.1	processed_transcript
ENSG00000236029		9	47295855	47314322	p11.1	protein_coding
ENSG00000205959		4	8483997	8514337	p16.1	processed_transcript
ENSG00000231590		X	101680349	101682995	q22.1	pseudogene
ENSG00000250915		4	8747123	8747759	p16.1	processed_transcript
ENSG00000243155		1	180913178	180945618	q25.3	processed_transcript
ENSG00000232586		1	180918835	180924023	q25.3	processed_transcript
ENSG00000251520		1	180933647	180935045	q25.3	pseudogene
ENSG00000204394	VARS	6	31745295	31763730	p21.33	protein_coding
ENSG00000134825	C11orf10	11	61556603	61560085	q12.2	protein_coding
ENSG00000156030	C14orf43	14	74181825	74256988	q24.3	protein_coding
ENSG00000076248	UNG	12	109535415	109548798	q24.11	protein_coding
ENSG00000219186	FTH1P19	X	37351274	37351801	p21.1	pseudogene
ENSG00000174678	FAM47DP	X	37400330	37404515	p21.1	pseudogene
ENSG00000234018		X	37765400	37808658	p11.4	processed_transcript
ENSG00000017373	SRCIN1	17	36686259	36762183	q12	protein_coding
ENSG00000224886		10	81444248	81444739	q22.3	pseudogene
ENSG00000145912	NHP2	5	177576461	177580968	q35.3	protein_coding
ENSG00000104388	RAB2A	8	61429416	61536186	q12.1	protein_coding
ENSG00000224339		X	37805137	37806028	p11.4	pseudogene
ENSG00000229674		X	37853597	37854043	p11.4	pseudogene
ENSG00000237292		1	181143620	181151344	q25.3	processed_transcript
ENSG00000226679		X	38080644	38082920	p11.4	processed_transcript
ENSG00000227988		X	38254622	38255148	p11.4	pseudogene
ENSG00000225359		1	181159607	181160285	q25.3	processed_transcript
ENSG00000232370		X	38338468	38339166	p11.4	pseudogene
ENSG00000179452		1	181205524	181207740	q25.3	processed_transcript
ENSG00000229735	FTLP16	X	38344005	38344517	p11.4	pseudogene
ENSG00000108244	KRT23	17	39078948	39093836	q21.2	protein_coding
ENSG00000198454	C9orf141	9	139863695	139866442	q34.3	protein_coding
ENSG00000197468		4	8951356	8952285	p16.1	pseudogene
ENSG00000168496	FEN1	11	61560150	61564708	q12.2	protein_coding
ENSG00000233007		X	38391176	38393427	p11.4	pseudogene
ENSG00000251291		4	135345022	135379007	q28.3	processed_transcript
ENSG00000249272		4	8961354	8965707	p16.1	pseudogene
ENSG00000235806		X	38629584	38658911	p11.4	processed_transcript
ENSG00000250804		4	8983162	8984086	p16.1	pseudogene
ENSG00000123575	FAM199X	X	103411301	103440583	q22.2	protein_coding
ENSG00000226381		10	81524486	81546199	q22.3	processed_transcript
ENSG00000249347		4	8992181	8992532	p16.1	pseudogene
ENSG00000225484		10	81563813	81586350	q22.3	processed_transcript
ENSG00000251313		4	9032012	9032792	p16.1	pseudogene
ENSG00000250342		4	9053568	9053777	p16.1	pseudogene
ENSG00000107317	PTGDS	9	139871956	139879887	q34.3	protein_coding
ENSG00000170681	MURC	9	103340361	103350188	q31.1	protein_coding
ENSG00000196767	POU3F4	X	82763269	82764775	q21.1	protein_coding
ENSG00000149485	FADS1	11	61567099	61596790	q12.2	protein_coding
ENSG00000254018		8	122896963	122916512	q24.13	protein_coding
ENSG00000249000		4	135680554	135738444	q28.3	processed_transcript
ENSG00000249847		4	135854044	135855286	q28.3	processed_transcript
ENSG00000092148	HECTD1	14	31569324	31676689	q12	protein_coding
ENSG00000253819		8	123682624	123706345	q24.13	protein_coding
ENSG00000251228		4	135865430	135865678	q28.3	pseudogene
ENSG00000249767		4	9080749	9143334	p16.1	pseudogene
ENSG00000178764	ZHX2	8	123793633	123986750	q24.13	protein_coding
ENSG00000148123		9	103790991	104087417	q31.1	protein_coding
ENSG00000241411		4	135873414	135874044	q28.3	pseudogene
ENSG00000250144		4	135966619	135968005	q28.3	pseudogene
ENSG00000238123		X	38660821	38663136	p11.4	processed_transcript
ENSG00000224610		X	39085356	39159040	p11.4	processed_transcript
ENSG00000157653	C9orf43	9	116172334	116191964	q32	protein_coding
ENSG00000204475	NCR3	6	31556672	31560762	p21.33	protein_coding
ENSG00000176318		X	101801665	101803141	q22.1	pseudogene
ENSG00000196970	NXF4	X	101804893	101826623	q22.1	processed_transcript
ENSG00000240127		X	101816863	101826393	q22.1	pseudogene
ENSG00000227211		X	101870406	101870748	q22.1	pseudogene
ENSG00000163612		4	9155022	9167177	p16.1	pseudogene
ENSG00000203843		1	144612266	144612683	q21.1	pseudogene
ENSG00000230320		X	101960712	101961168	q22.1	pseudogene
ENSG00000248434		4	135988388	136018813	q28.3	processed_transcript
ENSG00000215861		1	144676874	144679969	q21.1	pseudogene
ENSG00000254539		1	144833168	144835867	q21.1	processed_transcript
ENSG00000223546		X	102024089	102140334	q22.1	processed_transcript
ENSG00000255148		1	144858174	144865800	q21.1	processed_transcript
ENSG00000235304		X	39164210	39186616	p11.4	processed_transcript
ENSG00000254913		1	144874945	144878163	q21.1	processed_transcript
ENSG00000165521	EML5	14	89081205	89259157	q31.3	protein_coding
ENSG00000223380	SEC22B	1	145096220	145116922	q21.1	processed_transcript
ENSG00000164244	PRRC1	5	126853301	126890782	q23.2	protein_coding
ENSG00000177144		1	145139025	145139569	q21.1	pseudogene
ENSG00000197451	HNRNPAB	5	177631508	177638164	q35.3	protein_coding
ENSG00000227280		1	145373054	145375554	q21.1	processed_transcript
ENSG00000219545		7	7680342	8043689	p21.3	protein_coding
ENSG00000233396		1	145376125	145382397	q21.1	processed_transcript
ENSG00000179294	C17orf96	17	36827961	36831187	q12	protein_coding
ENSG00000248641	HMGA1P2	4	73964539	73964862	q13.3	pseudogene
ENSG00000250220		4	74124926	74183670	q13.3	processed_transcript
ENSG00000102100	SLC35A2	X	48760459	48769235	p11.23	protein_coding
ENSG00000234222		1	145486272	145508262	q21.1	processed_transcript
ENSG00000232282		X	102040595	102041532	q22.1	pseudogene
ENSG00000229954	MTND2P2	X	102041741	102043315	q22.1	pseudogene
ENSG00000203987		9	140762377	140787022	q34.3	protein_coding
ENSG00000108292	MLLT6	17	36861795	36886056	q12	protein_coding
ENSG00000237300		X	102051179	102051997	q22.1	pseudogene
ENSG00000236747		X	39226539	39251028	p11.4	processed_transcript
ENSG00000234191		X	39260506	39294078	p11.4	processed_transcript
ENSG00000147642	SYBU	8	110586207	110704020	q23.2	protein_coding
ENSG00000218823	PAPOLB	7	4897364	4901625	p22.1	protein_coding
ENSG00000248456		4	136034060	136044934	q28.3	processed_transcript
ENSG00000228232	GAPDHP1	X	39646386	39647390	p11.4	pseudogene
ENSG00000148408	CACNA1B	9	140772241	141019076	q34.3	protein_coding
ENSG00000250268		4	9168023	9171996	p16.1	pseudogene
ENSG00000250834		4	136292332	136293079	q28.3	pseudogene
ENSG00000249482		4	9231367	9232959	p16.1	pseudogene
ENSG00000250231		4	9240856	9242448	p16.1	pseudogene
ENSG00000136297	MMD2	7	4945620	4998844	p22.1	protein_coding
ENSG00000183035	CYLC1	X	83116154	83141705	q21.1	protein_coding
ENSG00000136986	DERL1	8	124025458	124054663	q24.13	protein_coding
ENSG00000251694		4	9360109	9361701	p16.1	pseudogene
ENSG00000188438		4	9400930	9405291	p16.1	pseudogene
ENSG00000072133	RPS6KA6	X	83318984	83442915	q21.1	protein_coding
ENSG00000234734	FAM75A7	9	65503363	65509610	q12	protein_coding
ENSG00000224810		1	182031812	182038388	q25.3	processed_transcript
ENSG00000168004	HRASLS5	11	63230810	63258666	q12.3	protein_coding
ENSG00000224428		10	81586459	81601328	q22.3	processed_transcript
ENSG00000214047		X	39724678	39725144	p11.4	pseudogene
ENSG00000232773		4	9424039	9431428	p16.1	pseudogene
ENSG00000164134	NAA15	4	140222609	140341187	q31.1	protein_coding
ENSG00000248364		4	9460981	9461970	p16.1	pseudogene
ENSG00000223486		X	39868529	39871435	p11.4	processed_transcript
ENSG00000215323		4	9470746	9471694	p16.1	pseudogene
ENSG00000250884		4	9485365	9486349	p16.1	pseudogene
ENSG00000251624		4	9495380	9499710	p16.1	pseudogene
ENSG00000225982		1	182055686	182059247	q25.3	processed_transcript
ENSG00000121797	CCRL2	3	46448654	46451014	p21.31	protein_coding
ENSG00000249866		4	9514554	9515523	p16.1	pseudogene
ENSG00000232309		1	182096432	182097800	q25.3	processed_transcript
ENSG00000249443		4	9523555	9523921	p16.1	pseudogene
ENSG00000242034		4	9555234	9555605	p16.1	pseudogene
ENSG00000228918		1	182098445	182283196	q25.3	processed_transcript
ENSG00000248104		4	136486272	136488312	q28.3	pseudogene
ENSG00000136881	BAAT	9	104122699	104145801	q31.1	protein_coding
ENSG00000123576	ESX1	X	103494724	103499614	q22.2	protein_coding
ENSG00000133317	LGALS12	11	63273524	63284246	q12.3	protein_coding
ENSG00000250865		4	136713539	136727059	q28.3	processed_transcript
ENSG00000236393		X	40122170	40146973	p11.4	processed_transcript
ENSG00000248330		4	136788138	136834835	q28.3	processed_transcript
ENSG00000214045		X	40218436	40219982	p11.4	pseudogene
ENSG00000140043	PTGR2	14	74318671	74352162	q24.3	protein_coding
ENSG00000189108	IL1RAPL2	X	103810996	105011822	q22.3	protein_coding
ENSG00000235685		X	40374191	40374757	p11.4	pseudogene
ENSG00000204472	AIF1	6	31582961	31584798	p21.33	protein_coding
ENSG00000244619		1	145541593	145542229	q21.1	processed_transcript
ENSG00000235702		1	145827205	145833118	q21.1	processed_transcript
ENSG00000214695		10	81620329	81621562	q22.3	pseudogene
ENSG00000215860	PDZK1P1	1	145924388	145942619	q21.1	processed_transcript
ENSG00000244004		4	9564791	9565570	p16.1	pseudogene
ENSG00000170161		9	66553273	66555928	q13	protein_coding
ENSG00000237628		X	102052457	102053043	q22.1	pseudogene
ENSG00000249799		4	9585566	9585755	p16.1	pseudogene
ENSG00000174339	OR2Y1	5	180166042	180167099	q35.3	protein_coding
ENSG00000250942		4	9678932	9679558	p16.1	pseudogene
ENSG00000228316		X	102053324	102054488	q22.1	pseudogene
ENSG00000232096		1	182151865	182152231	q25.3	pseudogene
ENSG00000186234		4	9694119	9704578	p16.1	pseudogene
ENSG00000228664		1	182297632	182298142	q25.3	pseudogene
ENSG00000224471		X	102054491	102054814	q22.1	pseudogene
ENSG00000204437	CTSLL6	10	81630131	81633659	q22.3	pseudogene
ENSG00000076555	ACACB	12	109577202	109706028	q24.11	protein_coding
ENSG00000134824	FADS2	11	61583728	61634826	q12.2	protein_coding
ENSG00000165259	HDX	X	83572882	83757487	q21.1	protein_coding
ENSG00000138835	RGS3	9	116207011	116360018	q32	protein_coding
ENSG00000131446	MGAT1	5	180217541	180242652	q35.3	protein_coding
ENSG00000171316	CHD7	8	61591337	61779465	q12.1	protein_coding
ENSG00000238205		X	40482836	40483112	p11.4	pseudogene
ENSG00000234636		X	40594652	40597950	p11.4	processed_transcript
ENSG00000214402	LCNL1	9	139876356	139880862	q34.3	protein_coding
ENSG00000251087		4	9705378	9712436	p16.1	pseudogene
ENSG00000249563		4	9734994	9743985	p16.1	pseudogene
ENSG00000250425		4	9756522	9757402	p16.1	pseudogene
ENSG00000249219		4	9924438	9925770	p16.1	processed_transcript
ENSG00000250413		4	10008106	10011349	p16.1	processed_transcript
ENSG00000214031		X	40619357	40620523	p11.4	pseudogene
ENSG00000250393		4	10144991	10145279	p16.1	pseudogene
ENSG00000136897	MRPL50	9	104149915	104160896	q31.1	protein_coding
ENSG00000251296		4	10168783	10169389	p16.1	pseudogene
ENSG00000012223	LTF	3	46477136	46526724	p21.31	protein_coding
ENSG00000234245		1	145952372	145956451	q21.1	processed_transcript
ENSG00000248777		4	10201447	10202296	p16.1	pseudogene
ENSG00000229828		1	146011091	146025308	q21.1	pseudogene
ENSG00000119725	ZNF410	14	74353574	74398980	q24.3	protein_coding
ENSG00000227216		1	146059926	146060344	q21.1	pseudogene
ENSG00000198658	FAM108A11P	1	146076838	146080009	q21.1	pseudogene
ENSG00000227733		1	146093234	146159102	q21.1	processed_transcript
ENSG00000239475		1	146310555	146349531	q21.1	processed_transcript
ENSG00000230055	CISD3	17	36886510	36891858	q12	protein_coding
ENSG00000189045	ANKDD1B	5	74907301	74967671	q13.3	protein_coding
ENSG00000056661	PCGF2	17	36890150	36904558	q12	protein_coding
ENSG00000170215	FAM27B	9	67792938	67794111	q13	protein_coding
ENSG00000214584		10	81651904	81652931	q22.3	pseudogene
ENSG00000229984		10	81691467	81710092	q22.3	processed_transcript
ENSG00000249976		4	74202950	74203404	q13.3	pseudogene
ENSG00000235924		10	81741595	81741968	q22.3	pseudogene
ENSG00000175309	AGXT2L2	5	177635498	177659792	q35.3	protein_coding
ENSG00000250436		4	74374520	74399845	q13.3	processed_transcript
ENSG00000244371		1	146392451	146392852	q21.1	pseudogene
ENSG00000196774	ANKRD20A1	9	67926761	67969840	q13	protein_coding
ENSG00000234225		1	146473499	146475178	q21.1	processed_transcript
ENSG00000249970		4	74409539	74409730	q13.3	pseudogene
ENSG00000250040		4	10256363	10258245	p16.1	pseudogene
ENSG00000228277		4	74576019	74580244	q13.3	processed_transcript
ENSG00000227242		1	146490895	146596107	q21.1	pseudogene
ENSG00000198944	ANKRD43	5	132149033	132152488	q31.1	protein_coding
ENSG00000136870	ZNF189	9	104161155	104172942	q31.1	protein_coding
ENSG00000106415	GLCCI1	7	8008423	8133902	p21.3	protein_coding
ENSG00000225100		10	81742671	81742996	q22.3	pseudogene
ENSG00000229616		10	81777433	81777611	q22.3	pseudogene
ENSG00000224760	C1DP3	10	81784499	81784915	q22.3	pseudogene
ENSG00000013523	ANGEL1	14	77253588	77279283	q24.3	protein_coding
ENSG00000221968	FADS3	11	61640991	61659523	q12.2	protein_coding
ENSG00000250573		4	10261069	10261762	p16.1	pseudogene
ENSG00000152359	POC5	5	74969949	75013313	q13.3	protein_coding
ENSG00000250074		4	10269519	10269855	p16.1	pseudogene
ENSG00000231684		1	182305136	182305475	q25.3	pseudogene
ENSG00000155008	APOOL	X	84258832	84344972	q21.1	protein_coding
ENSG00000203729	NCRNA00272	1	182376756	182383950	q25.3	processed_transcript
ENSG00000233537		1	182410712	182411497	q25.3	pseudogene
ENSG00000102401	ARMCX3	X	100878118	100882833	q22.1	protein_coding
ENSG00000121446	RGSL1	1	182419256	182529734	q25.3	processed_transcript
ENSG00000226056		X	102054870	102056327	q22.1	pseudogene
ENSG00000251492		4	136925664	136926057	q28.3	pseudogene
ENSG00000251567		4	137039830	137316626	q28.3	processed_transcript
